[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[state] Longa_Inatividade (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[keyboard] CTRL_C (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_LOST (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
[focus] IDE_FOCUS_GAINED (code=0, x=0, y=0, time=0, student=joao, exam=tstt)
